Event,Description,Date,Link,Source,Week Number
July OPP at Mother Foucault's Bookshop,7:00PM - 7:40PM,07/07/2023,https://www.motherfoucaultsbookshop.com/calendar-list/july-opp,Mother Foucault's Bookshop,27
Music and Poetry: Ken Gaines at Rose City Book Pub,7:00PM - 9:00PM,07/07/2023,https://www.rosecitybookpub.com/events-1/2023/7/7/music-and-poetry-ken-gaines,Rose City Book Pub,27
Waxing Comical: A Comedy Showcase at Rose City Book Pub,7:30PM - 8:30PM,07/08/2023,https://www.rosecitybookpub.com/events-1/2023/7/8/waxing-comical-a-comedy-showcase,Rose City Book Pub,27
Kids’ Storytime at Powell’s City of Books,10:30am,07/08/2023,https://www.powells.com/book/strollercoaster-9780316493222,Powells,27
Nonfiction For No Reason at the Stacks Coffeehouse,7:00PM - 9:30PM,07/08/2023,https://www.thestackscoffeehouse.com/events/2023/7/8/nonfiction-for-no-reason,Stacks Coffeehouse,27
The First 25 Pages at Literary Arts (tuition required) (virtual),10:00am - 12:00pm,07/09/2023,https://literary-arts.org/event/the-first-25-pages/,Literary Arts,27
Community Art Day at Rose City Book Pub,2:00PM - 6:00PM,07/09/2023,https://www.rosecitybookpub.com/events-1/2023/7/9/community-art-day,Rose City Book Pub,27
Reading: Janel Brubaker at Rose City Book Pub,7:30PM - 8:30PM,07/09/2023,https://www.rosecitybookpub.com/events-1/2023/7/9/reading-janel-brubaker,Rose City Book Pub,27
Reading: Rob Katsuno at Rose City Book Pub,7:00PM - 8:00PM,07/10/2023,https://www.rosecitybookpub.com/events-1/2023/6/5/reading-rob-katsuno,Rose City Book Pub,28
Story Time for Grownups with David Loftus at Rose City Book Pub,8:00PM - 9:00PM,07/10/2023,https://www.rosecitybookpub.com/events-1/2023/7/10/story-time-for-grownups-with-david-loftus,Rose City Book Pub,28
Peter Gleick in Conversation With Congressman Earl Blumenauer at Powell’s City of Books,7pm,07/10/2023,https://www.powells.com/book/the-three-ages-of-water-9781541702271/1-1,Powells,28
Rachel Lynn Solomon in Conversation With Alison Cochrun at Powell’s Books at Cedar Hills Crossing,7pm,07/10/2023,https://www.powells.com/book/business-or-pleasure-9780593548530/2-0,Powells,28
In Defense of the Imagination: Craft & Daily Practice at Literary Arts (tuition required) (virtual),7:00pm - 8:30pm,07/11/2023,https://literary-arts.org/event/in-defense-of-the-imagination-craft-daily-practice/,Literary Arts,28
Honeysuckle & Nightshade: Release Reading & Discussion at Literary Arts,7:00pm - 9:00pm,07/11/2023,https://literary-arts.org/event/honeysuckle-nightshade-release-reading-discussion/,Literary Arts,28
Reading: Marcy Houle and Elizabeth Eckstrom: The Gift of Aging at Annie Bloom's Books,7:00pm - 8:00pm,07/11/2023,https://www.annieblooms.com/event/reading-marcy-houle-and-elizabeth-eckstrom-gift-aging,Annie Bloom's Books,28
Bluegrass: Tuesdays with Monroe at Rose City Book Pub,7:00PM - 9:00PM,07/11/2023,https://www.rosecitybookpub.com/events-1/2023/7/11/bluegrass-tuesdays-with-monroe,Rose City Book Pub,28
Carson Winter in Conversation With Matt Blairstone at Powell’s City of Books,7pm,07/11/2023,https://www.powells.com/book/soft-targets-9798985992342/1-1,Powells,28
Christina Gerhardt in Conversation With Madeline Ostrander at Powell’s Books at Cedar Hills Crossing,7pm,07/11/2023,https://www.powells.com/book/sea-change-9780520304826/2-1,Powells,28
"Timothy Shaner, Linda Russo, Evelyn Reilly at Mother Foucault's Bookshop",7:30PM - 9:30PM,07/12/2023,https://www.motherfoucaultsbookshop.com/calendar-list/timothy-shaner-linda-russo-evelyn-reilly,Mother Foucault's Bookshop,28
